sep=;
Time;*
2018-04-01T00:00:00.000Z;992509
2018-04-02T00:00:00.000Z;2062189
2018-04-03T00:00:00.000Z;2619911
2018-04-04T00:00:00.000Z;2598414
2018-04-05T00:00:00.000Z;2350764
2018-04-06T00:00:00.000Z;1905487
2018-04-07T00:00:00.000Z;962466
2018-04-08T00:00:00.000Z;755294
2018-04-09T00:00:00.000Z;2041702
2018-04-10T00:00:00.000Z;2028402
2018-04-11T00:00:00.000Z;1930225
2018-04-12T00:00:00.000Z;1914361
2018-04-13T00:00:00.000Z;1838829
2018-04-14T00:00:00.000Z;893946
2018-04-15T00:00:00.000Z;704878
2018-04-16T00:00:00.000Z;8536713
2018-04-17T00:00:00.000Z;1795152
2018-04-18T00:00:00.000Z;1701995
